dep;jour;pop;T
92;2020-05-17;1613762;227
93;2020-05-17;1670149;202
94;2020-05-17;1406041;201
95;2020-05-17;1248354;109
971;2020-05-17;376879;4
972;2020-05-17;358749;7
973;2020-05-17;290691;3
974;2020-05-17;859959;197
975;2020-05-17;5997;0
976;2020-05-17;279471;4
977;2020-05-17;9961;0
978;2020-05-17;35334;0
01;2020-05-18;656955;586
02;2020-05-18;526050;324
03;2020-05-18;331315;302
04;2020-05-18;165197;71
05;2020-05-18;141756;78
06;2020-05-18;1079396;1164
07;2020-05-18;326875;139
08;2020-05-18;265531;98
09;2020-05-18;152398;71
10;2020-05-18;309907;210
11;2020-05-18;372705;380
12;2020-05-18;278360;131
13;2020-05-18;2034469;3170
14;2020-05-18;691453;624
15;2020-05-18;142811;112
16;2020-05-18;348180;178
17;2020-05-18;647080;412
18;2020-05-18;296404;132
19;2020-05-18;240336;185
21;2020-05-18;532886;361
22;2020-05-18;596186;373
23;2020-05-18;116270;165
24;2020-05-18;408393;148
25;2020-05-18;539449;385
26;2020-05-18;520560;386
27;2020-05-18;600687;198
28;2020-05-18;429425;199
29;2020-05-18;906554;383
2A;2020-05-18;162421;191
2B;2020-05-18;182258;230
30;2020-05-18;748468;660
31;2020-05-18;1400935;1390
32;2020-05-18;190040;547
33;2020-05-18;1633440;930
34;2020-05-18;1176145;1257
35;2020-05-18;1082073;489
36;2020-05-18;217139;197
37;2020-05-18;605380;697
38;2020-05-18;1264979;691
39;2020-05-18;257849;99
40;2020-05-18;411979;151
41;2020-05-18;327835;171
42;2020-05-18;764737;557
43;2020-05-18;226901;95
44;2020-05-18;1437137;657
45;2020-05-18;682890;598
46;2020-05-18;173166;138
47;2020-05-18;330336;162
48;2020-05-18;76286;42
49;2020-05-18;815881;592
50;2020-05-18;490669;258
51;2020-05-18;563823;411
52;2020-05-18;169250;120
53;2020-05-18;305365;97
54;2020-05-18;730398;923
55;2020-05-18;181641;327
56;2020-05-18;755566;321
57;2020-05-18;1035866;900
58;2020-05-18;199596;150
59;2020-05-18;2588988;1786
60;2020-05-18;825077;468
61;2020-05-18;276903;186
62;2020-05-18;1452778;987
63;2020-05-18;660240;441
64;2020-05-18;683169;557
65;2020-05-18;226839;217
66;2020-05-18;479000;326
67;2020-05-18;1132607;1194
68;2020-05-18;763204;622
69;2020-05-18;1876051;1533
70;2020-05-18;233194;212
71;2020-05-18;547824;547
72;2020-05-18;560227;299
73;2020-05-18;432548;177
74;2020-05-18;828405;422
75;2020-05-18;2148271;2026
76;2020-05-18;1243788;740
77;2020-05-18;1423607;1220
78;2020-05-18;1448625;1099
79;2020-05-18;372627;243
80;2020-05-18;569769;500
